source_id,simbad_id,simbad_otype,simbad_sptype,simbad_n_match,candidate_class
712206400010167,UCAC4 646-049042,*,,1,*
1711215300007434,,,,0,unexamined
1711215300007469,,,,0,unexamined
1711215300007145,,,,0,unexamined
712206400004308,,,,0,unexamined
1711215300008262,,,,0,unexamined
712206400011092,UCAC4 646-049022,*,,1,*
712206400010351,,,,0,unexamined
1711216400022076,,,,0,unexamined
712206400004607,,,,0,unexamined
712206400003615,,,,0,unexamined
1711215300006927,,,,0,unexamined
712206400003304,,,,0,unexamined
712206400004442,,,,0,unexamined
1711215300007056,,,,0,unexamined
1711216400040825,Z 212-36,AGN,,1,agn
