n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,secular_slope_mag_yr,secular_sigma,secular_total_mag,secular_score,is_secular_fader,resists_mundane,is_candidate
242,0.6913575114371722,51,0.21074380165289255,1.2054784530184857,0.9967675997739661,0.5550901479247196,0.5323287071811091,11,0.212025146680624,0.6768334573742302,578212400006559,198.96587499999998,19.1380096,20.717090606689453,0.9652690887451172,-2.979720024756078,unknown,0.22204846327251185,8.260312834189643,0.8660051515554743,0.8839285714285714,True,False,False
41,0.22382215893642277,26,0.6341463414634146,0.48644706267516075,0.33634928049054286,0.9607312029788738,0.52,7,0.060086914933237257,0.22084668996096435,1623202300005006,200.1363763,19.156188,15.815024375915527,0.4693794250488281,0.007989019268179558,unknown,0.039497116130373426,4.795978487766912,0.12089354518397112,0.6052419830933025,True,False,False
41,0.2609813473834177,11,0.2682926829268293,1.452916112251462,0.9977215566741022,0.7745401023571563,0.49890263608108404,3,0.03609077688466791,0.2609813473834177,1623203400004339,199.4228502,19.1862675,19.13844108581543,0.6302471160888672,-0.07584596696681858,unknown,0.10000445111217879,23.708648704957884,0.3055381860319617,1.0,True,False,False
621,0.37610342714622813,111,0.178743961352657,1.2813734269246158,0.49942100097559944,0.4176217522854876,0.4715958799298307,26,0.06537041334418531,0.3719014367126683,578212400006162,199.4228558,19.1862737,19.13844108581543,0.6302471160888672,-0.07584596696681858,unknown,0.05170617044720651,4.44041963891969,0.3649596837895638,0.5173169044469085,True,False,False
652,0.4047311785394886,417,0.6395705521472392,0.7037788726008471,0.49938324049742266,0.4216704693828294,0.36582673046853,53,0.049224042905540395,0.4047311785394886,578212400006017,198.9923567,19.19768055,17.8452205657959,0.30465126037597656,0.04197343671618298,unknown,0.08250860782769516,7.2915160127549505,0.5828118198618147,0.849571281020396,True,False,False
524,0.32362051922128277,1,0.0019083969465648854,0.6430735539524217,0.12519384767910155,0.03789604891047051,0.28863118532685883,0,0.0,0.0,578212400006699,199.2013987,19.12555445,19.874130249023438,1.4912776947021484,0.6882979840880521,unknown,0.04409462062270504,6.7781316589354415,0.311234784167866,0.6522505327148354,True,False,False
181,0.5114945199428433,1,0.0055248618784530384,0.8721294813980833,0.1104649831722518,0.10559766126560839,0.26832070162031746,0,0.0,0.0,578211300008203,200.5783331,19.0591841,21.02583885192871,0.9497470855712891,,unknown,0.041000725861707034,8.992450351409282,0.2910124311416885,0.7847222222222222,True,False,False
203,0.47939242852094255,1,0.0049261083743842365,0.859394261172574,0.5079216508911027,0.12122154627720985,0.26363353611683704,0,0.0,0.0,578211300007223,200.3427796,19.1525483,,,,unknown,0.02401185409739256,5.43389864166016,0.16816763641617727,0.567130255061123,True,False,False
59,0.4458354454616297,0,0.0,0.9099434973176432,0.32240338519807343,0.31289775277140863,0.2061306741685774,0,0.0,0.0,578212400032603,199.1964555,19.1379304,,,,unknown,0.04872475460300468,4.141000129939503,0.339113198440813,0.5194050103951602,True,False,False
66,0.5563639804536739,2,0.030303030303030304,0.8503519194329369,0.11772479881622222,0.3327950507406765,0.20016148477779705,0,0.0,0.0,578211300028464,200.2513012,19.171988,,,,unknown,0.15391323181591893,5.003024731298219,0.4451942497993623,0.6144086451705242,True,False,False
42,0.0845437711556799,0,0.0,1.0648118634929316,1.7486986643347082,0.41504126031021016,0.17937633371651285,0,0.0,0.0,1623202400005795,200.892054,19.061762950000002,18.223718643188477,0.7060031890869141,0.03891642562679189,unknown,0.015975967909327555,18.87409787811326,0.04889955489228026,0.7355742210614905,True,False,False
159,0.5193000554850218,1,0.006289308176100629,0.699312591334628,0.3972843589019127,0.10406702700177757,0.11877989189946672,0,0.08625006944505058,0.0,578212400006497,199.5800616,19.1525679,,,,unknown,0.03744212750568375,4.32455358975859,0.2622268071723822,0.5340892871806873,True,False,False
36,0.44618988959415595,2,0.05555555555555555,1.312419012282563,0.41311269084304103,0.429924048539998,0.07128996336083221,0,0.03949265427137406,0.0,1623202300005633,200.3631234,19.08868145,,,,unknown,0.07528769167525154,4.056605863644597,0.23116499247558914,0.5386951357582344,True,False,False
63,0.5298930757504998,1,0.015873015873015872,0.820355082620151,1.0229351078138882,0.32032577275905183,0.05390226817228445,0,0.12157497800823025,0.0,578211300021181,200.6736744,19.1783051,,,,unknown,0.08725296487480261,4.890605075734655,0.3398352378956226,0.605415072725439,True,False,False
35,0.5313792270791977,0,0.0,1.4637098911172697,0.16431274427396583,0.5314638474693609,0.02782259346703618,0,0.24485325572637265,0.0,578211300007466,200.6626165,19.1315185,,,,unknown,0.13108132364255146,4.4577998159012715,0.38850068212206146,0.7166239852721017,True,False,False
