source_id,ra,dec,dist_pc,phot_g_mean_mag,bp_rp,transfer_score,n_valid,d_min_p16,d_min_p50,d_min_p84,t_enc_p16,t_enc_p50,t_enc_p84,v_rel_p16,v_rel_p50,v_rel_p84,frac_past,frac_dmin_lt1pc,frac_dmin_lt2pc,robust_recipient
3.9132398154372813e+18,177.93614516808728,10.739970720133865,35.74975651453549,13.681211,2.7078018,0.0010631235285985,5000,0.9019558251816698,0.9123256038913692,0.9489140316919891,-0.13899763045254912,-0.13586441866591775,-0.1322128863054016,31.534505832389932,32.27793487274208,33.10313917245674,1.0,0.9636,1.0,True
6.082154083235053e+17,132.42309108189906,13.167993289884517,35.386201162878194,13.159911,2.5438957,0.0006601856383344,5000,0.773348675308596,1.0722726474348456,1.4713893599143155,-0.6540112211088737,-0.6494839163487338,-0.644886757537093,37.52747059352613,37.788601019109215,38.0506325062498,1.0,0.4246,0.981,True
4.358031335898505e+18,249.09140230088192,-2.3259612815161246,9.893947947441871,5.5535517,1.0146093,0.0012191630286175,5000,1.1276656242999965,1.1501147208583817,1.1888375572123013,-1.3715008380857177,-1.3473466774331828,-1.3236989834277704,26.414786131580676,26.887955815201643,27.369638795445756,1.0,0.0,1.0,True
3.910084904260137e+18,175.25125731701692,7.420812358722244,39.78738759252188,15.001929,2.9604511,0.0004764440620583,5000,1.2718163429834517,1.307799082480872,1.3609358104033995,-0.055337026505394585,-0.05286100659723163,-0.05028685967369549,37.82302469944607,40.07787389727228,42.43004758219484,1.0,0.0,1.0,True
1.2314926098228652e+18,210.49523172354156,15.494626755208127,29.348683437785063,10.644015,2.0879211,0.0009862973889152,5000,0.954257773803054,1.325797004946336,1.7590779871369016,-0.8338748794039625,-0.8254447390164115,-0.8172762266442173,27.35530030351003,27.652684635874188,27.948470230939968,1.0,0.198,0.9372,True
6.290789738904058e+18,208.46990728641606,-19.174363709748366,51.71363602044079,12.178929,2.0976257,0.0007183589704671,5000,0.853850054254614,1.3780457895038416,2.371721761304996,-1.1236170655430544,-1.0996825503464764,-1.0753615487346782,31.416935689978338,32.1342665511564,32.875533782949304,1.0,0.2848,0.7412,True
6.465556880216562e+17,145.5991252040358,25.55941333597581,49.76152802888009,10.433245,1.4867353,0.0004355810025988,5000,1.4862925104581208,1.5874831790675752,1.75451456378679,-0.6770745757184206,-0.6743256558543101,-0.6714909821916508,37.87459363075317,38.021088168367285,38.17101742418723,1.0,0.0,0.9818,True
6.274745570745148e+17,147.25290787741406,19.629385236315397,61.925016250336654,15.123032,2.764844,0.000492754054017,5000,1.0025751089084403,1.7670145378823334,3.452001575357739,-0.9766695038929731,-0.9038258313406569,-0.8363863715232608,32.97482368832652,35.783934102620364,38.698523847086605,1.0,0.1582,0.5686,True
3.593457028981244e+18,175.10539647376163,-6.403802726606618,36.25289223302628,15.188681,3.2218008,0.0006642233673629,5000,1.0402279763809885,1.8021899319307946,3.280290541756654,-0.23538973756123266,-0.22968936700309903,-0.20938917277943225,38.58027710835565,39.10325528796108,40.96194574463472,1.0,0.1312,0.5638,True
6.24498350897398e+17,157.3180778936658,19.453717786097144,56.47159876438421,14.962607,2.8161697,0.0010587332561536,5000,0.9270034891861896,1.8326675558292287,3.786448165706693,-1.1134353012258962,-0.9993032059270961,-0.8912175037661497,20.763255657041935,23.367517314827197,26.231769106761483,1.0,0.2014,0.5464,True
3.736635776747657e+18,197.83163544912736,12.009642657748351,39.4291962327187,12.980899,2.4882479,0.0002517096541359,5000,1.8001562800704634,1.8585453391624793,1.955751446369387,-0.35916702647635745,-0.3574993630886846,-0.3558412336227235,46.015350239952426,46.22408356773968,46.42744702016731,1.0,0.0,0.9136,True
6.213244344894865e+17,145.57844858373957,18.36141256827545,58.80115660926843,13.936505,2.7055855,0.0012038848927543,5000,1.580947458706324,1.908082396569359,2.852573378588018,-1.4082491454255843,-1.3115244547158846,-1.2247177466406403,21.541773814795224,23.17393126490257,24.79490347408609,1.0,0.0,0.5542,True
5.475516920769156e+18,156.64544431687324,-21.756801090463263,64.38181825842557,9.1383095,0.93708515,0.0001881517552363,5000,1.9528333188084321,1.9718464290706352,2.024682318508643,-0.728456671039523,-0.7248665554169468,-0.72117079032036,51.83877100040416,52.10591504329943,52.36659044190093,1.0,0.0,0.7404,True
5.475518466957388e+18,156.67134816233713,-21.721846067356356,64.42807486539782,15.196973,2.8839464,0.0001950695260287,5000,1.7692246272721333,2.409163506507144,3.8882808760892207,-0.7717057594240158,-0.6974017407710702,-0.6287257662889678,48.84721283584469,54.20783846713849,59.950945915460274,1.0,0.0,0.3206,False
7.988610007761339e+17,143.4211082721717,36.38420008782941,51.23031612978084,14.796912,2.9176407,0.0010595555676846,5000,1.2550408577021948,2.666198763403141,5.235464595490479,-1.1370531298715194,-1.0367722584771477,-0.9324727670281578,27.614835391752262,30.541025445950105,33.77235796983327,1.0,0.0156,0.3702,False
